title,date,Fear,Optimism,Anger,Joy,Trust,Despair,Economic Security,Uncertainty,Fear for the future
Trump acolytes vie for key election oversight posts in US midterms,2022-01-02T08:30:12Z,1,0,1,0,0,0,0,1,1
US taskforce defending election officials makes first arrest over alleged death threats,2022-01-21T19:11:44Z,1,0,1,0,0,0,0,0,1
"More than 1,000 US public figures aided Trump’s effort to overturn election",2022-01-05T07:00:35Z,1,0,1,0,0,0,0,1,1
More than 40% in US do not believe Biden legitimately won election – poll,2022-01-05T18:16:08Z,1,0,1,0,0,1,0,1,1
Arizona Republicans introduce election subversion bill,2022-01-29T11:00:03Z,1,0,1,0,0,0,0,1,1
Paraguayan presidential guard dies after being impaled by deer,2022-01-04T17:07:59Z,1,0,0,0,0,1,0,1,0
Republican party signals plans to withdraw from US presidential debates,2022-01-13T19:36:13Z,0,0,1,0,0,0,0,1,1
The Guardian view on French progressives: divided they fall | Editorial,2022-01-17T19:03:58Z,0,0,0,0,0,1,0,1,1
Election battle lines set as Macron pits himself against France’s unvaccinated,2022-01-14T14:38:12Z,1,0,1,0,0,0,0,1,1
Silvio Berlusconi steps up Italy presidential campaign with threat to coalition ,2022-01-11T15:29:36Z,1,0,0,0,0,0,0,1,1
Countryside Properties CEO leaves as extent of poor results revealed,2022-01-13T16:53:12Z,1,0,1,0,0,1,0,1,1
Arizona Republicans introduce election subversion bill,2022-01-29T11:00:03Z,1,0,1,0,0,0,0,1,1
"Even if the Tories want Boris Johnson to go, no one is willing to give him a push | Katy Balls",2022-01-17T17:20:09Z,0,0,1,0,0,1,0,1,1
US Capitol attack: Liz Cheney says Mike Pence ‘was a hero’ on 6 January,2022-01-06T19:09:26Z,1,0,1,0,0,0,0,1,1
Focus shifts from performance to results as Matildas eye Asian Cup success | Joey Lynch,2022-01-19T16:30:11Z,0,1,0,0,0,0,0,1,1
Anne Hidalgo vows to stay in race for French presidency despite dismal polls,2022-01-26T17:45:45Z,1,0,1,0,0,1,0,1,1
More than 40% in US do not believe Biden legitimately won election – poll,2022-01-05T18:16:08Z,1,0,1,0,0,1,0,1,1
Boris Johnson now less popular than Theresa May as polls show Tories’ dire predicament,2022-01-15T21:31:03Z,1,0,1,0,0,1,0,1,1
PinkPantheress tops stardom-predicting BBC Sound of … poll,2022-01-06T00:01:47Z,0,1,0,1,0,0,0,0,0
Guardian Essential poll: disillusion growing over Coalition handling of pandemic,2022-01-24T16:30:20Z,0,0,1,0,0,0,0,1,1
