title,date,Fear,Optimism,Anger,Joy,Trust,Despair,Economic Security,Uncertainty,Fear for the future,sp500_close_today,sp500_close_next_day,sp500_close_next_week,Next_Day_Change,Next_Week_Change,Next_Day_Status,Next_Week_Status
Trump acolytes vie for key election oversight posts in US midterms,2022-01-02,1,0,1,0,0,0,0,1,1,,[4796.56005859],,,,ללא שינוי,ללא שינוי
US taskforce defending election officials makes first arrest over alleged death threats,2022-01-21,1,0,1,0,0,0,0,0,1,[4397.93994141],,[4431.85009766],,[33.91015625],ללא שינוי,עלייה
"More than 1,000 US public figures aided Trump’s effort to overturn election",2022-01-05,1,0,1,0,0,0,0,1,1,[4700.58007812],[4696.04980469],[4726.35009766],[-4.53027344],[25.77001953],ירידה,עלייה
More than 40% in US do not believe Biden legitimately won election – poll,2022-01-05,1,0,1,0,0,1,0,1,1,[4700.58007812],[4696.04980469],[4726.35009766],[-4.53027344],[25.77001953],ירידה,עלייה
Arizona Republicans introduce election subversion bill,2022-01-29,1,0,1,0,0,0,0,1,1,,,,,,ללא שינוי,ללא שינוי
Paraguayan presidential guard dies after being impaled by deer,2022-01-04,1,0,0,0,0,1,0,1,0,[4793.54003906],[4700.58007812],[4713.06982422],[-92.95996094],[-80.47021484],ירידה,ירידה
Republican party signals plans to withdraw from US presidential debates,2022-01-13,0,0,1,0,0,0,0,1,1,[4659.02978516],[4662.85009766],[4482.72998047],[3.8203125],[-176.29980469],עלייה,ירידה
The Guardian view on French progressives: divided they fall | Editorial,2022-01-17,0,0,0,0,0,1,0,1,1,,[4577.10986328],[4410.12988281],,,ללא שינוי,ללא שינוי
Election battle lines set as Macron pits himself against France’s unvaccinated,2022-01-14,1,0,1,0,0,0,0,1,1,[4662.85009766],,[4397.93994141],,[-264.91015625],ללא שינוי,ירידה
Silvio Berlusconi steps up Italy presidential campaign with threat to coalition ,2022-01-11,1,0,0,0,0,0,0,1,1,[4713.06982422],[4726.35009766],[4577.10986328],[13.28027344],[-135.95996094],עלייה,ירידה
Countryside Properties CEO leaves as extent of poor results revealed,2022-01-13,1,0,1,0,0,1,0,1,1,[4659.02978516],[4662.85009766],[4482.72998047],[3.8203125],[-176.29980469],עלייה,ירידה
Arizona Republicans introduce election subversion bill,2022-01-29,1,0,1,0,0,0,0,1,1,,,,,,ללא שינוי,ללא שינוי
"Even if the Tories want Boris Johnson to go, no one is willing to give him a push | Katy Balls",2022-01-17,0,0,1,0,0,1,0,1,1,,[4577.10986328],[4410.12988281],,,ללא שינוי,ללא שינוי
US Capitol attack: Liz Cheney says Mike Pence ‘was a hero’ on 6 January,2022-01-06,1,0,1,0,0,0,0,1,1,[4696.04980469],[4677.02978516],[4659.02978516],[-19.02001953],[-37.02001953],ירידה,ירידה
Focus shifts from performance to results as Matildas eye Asian Cup success | Joey Lynch,2022-01-19,0,1,0,0,0,0,0,1,1,[4532.75976562],[4482.72998047],[4349.93017578],[-50.02978516],[-182.82958984],ירידה,ירידה
Anne Hidalgo vows to stay in race for French presidency despite dismal polls,2022-01-26,1,0,1,0,0,1,0,1,1,[4349.93017578],[4326.50976562],[4589.37988281],[-23.42041016],[239.44970703],ירידה,עלייה
More than 40% in US do not believe Biden legitimately won election – poll,2022-01-05,1,0,1,0,0,1,0,1,1,[4700.58007812],[4696.04980469],[4726.35009766],[-4.53027344],[25.77001953],ירידה,עלייה
Boris Johnson now less popular than Theresa May as polls show Tories’ dire predicament,2022-01-15,1,0,1,0,0,1,0,1,1,,,,,,ללא שינוי,ללא שינוי
PinkPantheress tops stardom-predicting BBC Sound of … poll,2022-01-06,0,1,0,1,0,0,0,0,0,[4696.04980469],[4677.02978516],[4659.02978516],[-19.02001953],[-37.02001953],ירידה,ירידה
Guardian Essential poll: disillusion growing over Coalition handling of pandemic,2022-01-24,0,0,1,0,0,0,0,1,1,[4410.12988281],[4356.45019531],[4515.54980469],[-53.6796875],[105.41992188],ירידה,עלייה
Global stock markets dive as fears of Ukraine conflict rattle investors,2022-01-24,1,0,0,0,0,0,0,1,1,[4410.12988281],[4356.45019531],[4515.54980469],[-53.6796875],[105.41992188],ירידה,עלייה
What would be Russia’s military options in Ukraine?,2022-01-10,1,0,0,0,0,0,0,1,1,[4670.29003906],[4713.06982422],,[42.77978516],,עלייה,ללא שינוי
‘This is just hysteria’: Russians unmoved by threat of Ukraine conflict,2022-01-29,1,0,0,0,0,0,0,1,1,,,,,,ללא שינוי,ללא שינוי
US warns Russia conflict with Ukraine would be ‘horrific’ as tensions simmer,2022-01-29,1,0,0,0,0,0,0,1,1,,,,,,ללא שינוי,ללא שינוי
Military deployed at London hospitals due to Omicron staff shortages,2022-01-07,1,0,1,0,0,0,0,1,1,[4677.02978516],,[4662.85009766],,[-14.1796875],ללא שינוי,ירידה
Draft Trump order told defense chief to seize swing-state voting machines,2022-01-21,1,0,1,0,0,0,0,1,1,[4397.93994141],,[4431.85009766],,[33.91015625],ללא שינוי,עלייה
MPs raise concerns about leak of hike in living wage in last budget,2022-01-27,1,0,0,0,0,0,0,1,1,[4326.50976562],[4431.85009766],[4477.43994141],[105.34033203],[150.93017578],עלייה,עלייה
Should I buy a house within budget or stretch myself for a long-term place?,2022-01-24,1,0,0,0,0,0,0,1,1,[4410.12988281],[4356.45019531],[4515.54980469],[-53.6796875],[105.41992188],ירידה,עלייה
‘Accounting sham’: transport body set up to improve NSW’s budget bottom line could need $4.1bn injection,2022-01-23,1,0,1,0,0,0,0,1,1,,[4410.12988281],,,,ללא שינוי,ללא שינוי
‘The Timothy McVeighs are still there’: fears over extremism in US military,2022-01-10,1,0,1,0,0,0,0,1,1,[4670.29003906],[4713.06982422],,[42.77978516],,עלייה,ללא שינוי
The US military is polluting Hawaii’s water supply – and denying it | Wayne Tanaka,2022-01-04,1,0,1,0,0,1,0,1,1,[4793.54003906],[4700.58007812],[4713.06982422],[-92.95996094],[-80.47021484],ירידה,ירידה
‘The Timothy McVeighs are still there’: fears over extremism in US military,2022-01-10,1,0,1,0,0,0,0,1,1,[4670.29003906],[4713.06982422],,[42.77978516],,עלייה,ללא שינוי
